,car,price,body,mileage,engV,engType,registration,year,drive
2001,40,10200.0,3,180,2.4,3,1,2003,0
2002,22,42000.0,0,60,2.0,3,1,2012,1
2003,43,9000.0,1,95,1.6,1,1,2005,0
2004,43,11500.0,3,169,1.8,3,1,2008,0
2005,26,9500.0,5,248,2.2,0,1,2005,2
2006,26,32800.0,0,109,3.0,0,1,2011,1
2007,43,9750.0,5,159,1.9,0,1,2009,0
2008,43,10250.0,3,144,2.0,0,1,2008,0
2009,28,12450.0,0,169,2.0,3,1,2008,1
2010,33,2500.0,3,170,1.9,0,0,2003,0
2011,2,22000.0,0,152,4.2,3,1,2007,1
2012,34,10199.0,1,98,1.6,3,1,2009,0
2013,26,8000.0,2,230,2.2,0,1,2001,0
2014,26,4800.0,3,199,3.2,0,1,1999,0
2015,13,5400.0,1,82,1.25,3,1,2007,0
2016,17,3950.0,0,220,2.9,0,0,2002,1
2017,6,4950.0,3,127,1.5,3,1,2008,0
2018,26,54500.0,3,29,3.0,0,1,2012,2
2020,43,49999.0,5,59,2.0,0,1,2014,1
2022,3,13500.0,0,250,3.0,0,0,2006,1
2023,26,13900.0,3,216,2.2,0,1,2007,2
2024,3,3200.0,3,237,2.5,3,1,1990,2
2025,40,13500.0,0,131,2.4,1,1,2006,1
2027,40,8650.0,3,132,1.6,3,1,2008,0
2028,17,21900.0,0,71,2.2,0,1,2012,1
2029,35,21300.0,3,2,1.4,3,1,2016,0
2030,26,7300.0,5,245,2.2,0,1,2002,0
2031,29,10350.0,4,95,1.4,3,1,2012,0
2032,40,13999.0,3,198,2.4,1,1,2009,0
2033,27,9800.0,3,56,1.5,3,1,2011,0
2034,35,7200.0,1,172,1.6,3,1,2006,0
2035,43,17800.0,3,180,3.0,0,1,2007,1
2036,21,7900.0,3,140,1.6,0,1,2008,0
2037,40,8900.0,1,140,1.6,3,1,2008,0
2038,10,4600.0,3,57,1.3,1,1,2011,0
2039,43,13499.0,5,154,2.0,0,1,2013,0
2040,26,6950.0,2,190,2.2,0,1,1999,0
2041,26,10250.0,3,261,1.8,3,1,2003,2
2042,21,11400.0,0,114,2.5,0,1,2008,1
2043,37,16700.0,0,39,2.7,0,1,2013,1
2044,3,29900.0,0,182,3.0,3,1,2008,1
2045,40,13500.0,3,144,3.5,1,1,2007,0
2046,17,5400.0,3,102,1.5,0,1,2008,0
2047,33,2300.0,5,200,1.9,0,1,2002,0
2048,37,12300.0,5,107,2.7,0,1,2008,1
2049,27,13900.0,4,93,3.0,1,1,2007,1
2050,21,11800.0,0,52,2.5,0,1,2008,1
2051,25,25800.0,3,9,2.0,3,1,2016,0
2052,25,5850.0,3,270,2.0,3,1,2003,0
2053,43,13900.0,0,156,2.0,0,1,2012,0
2054,26,82555.0,0,69,3.0,0,1,2014,1
2055,21,11764.116000000002,1,1,1.4,3,1,2015,0
2056,13,12500.0,3,99,1.6,3,1,2012,0
2057,3,8999.0,3,221,4.5,3,1,2002,2
2058,40,23499.0,0,174,4.0,1,1,2008,1
2061,26,28950.0,3,40,1.8,3,1,2014,2
2062,3,9400.0,3,221,4.4,1,1,2004,2
2063,23,13800.0,0,156,4.0,2,1,2006,1
2064,2,14200.0,4,200,2.7,0,1,2006,0
2065,43,10000.0,5,224,2.5,0,1,2006,0
2066,40,11999.0,3,147,2.4,3,1,2010,0
2067,6,10500.0,3,67,1.8,3,1,2011,0
2068,33,9600.0,5,175,2.0,0,1,2007,0
2069,25,12900.0,3,65,2.0,1,1,2009,0
2070,35,11950.0,1,117,1.6,1,1,2012,0
2071,3,51900.0,0,106,3.0,0,1,2012,1
2072,43,9555.0,3,174,2.0,3,1,2007,0
2073,2,31500.0,3,140,2.0,0,1,2012,0
2074,16,12399.0,3,90,2.4,3,1,2008,0
2075,25,10500.0,3,121,2.3,3,1,2008,1
2076,35,14600.0,3,58,1.8,3,1,2012,0
2077,26,17300.0,3,107,1.8,3,1,2008,2
2078,25,10800.0,1,93,1.6,1,1,2011,0
2079,43,22600.0,0,187,3.0,0,1,2008,1
2081,35,8600.0,1,240,2.0,3,1,2003,0
2082,21,6300.0,3,164,1.6,3,1,2007,0
2083,40,28350.0,0,92,2.2,0,1,2013,1
2084,23,21500.0,3,100,2.5,3,1,2008,1
2085,26,4500.0,3,409,2.6,3,1,1991,2
2086,43,2200.0,3,272,1.9,0,0,1998,0
2087,26,9500.0,2,220,2.2,0,1,2005,2
2088,17,14900.0,0,172,2.2,0,1,2007,1
2089,3,6500.0,3,300,2.8,1,1,1997,2
2090,16,3200.0,3,330,1.4,3,1,1998,0
2091,28,16800.0,0,150,2.0,3,1,2012,1
2092,3,18000.0,3,245,2.5,3,1,2007,2
2093,33,13600.0,4,164,1.5,0,1,2013,0
2094,38,12000.0,0,150,3.0,3,1,2006,1
2095,45,2100.0,3,88,1.2,1,1,2007,0
2096,2,12600.0,3,294,3.0,1,1,2004,0
2097,33,5900.0,1,171,1.5,2,1,2005,0
2098,43,17900.0,0,167,3.0,0,1,2007,1
2099,27,8300.0,0,161,2.0,3,1,2005,1
2101,26,18500.0,2,90,1.8,3,1,2008,2
2104,26,5200.0,3,432,3.0,0,1,1992,2
2105,35,11500.0,4,85,1.4,3,1,2011,0
2106,25,22300.0,3,29,2.0,3,1,2015,0
2107,26,8600.0,3,240,3.2,0,1,2001,2
2108,26,8500.0,5,281,2.2,0,1,2004,2
2109,2,3150.0,4,310,2.5,0,0,1999,0
2110,16,8600.0,3,117,1.8,3,1,2008,0
2111,43,16999.0,3,0,1.6,3,1,2016,0
2112,17,9999.0,3,42,1.4,3,1,2011,0
2113,43,16200.0,1,44,1.4,3,1,2012,0
2114,40,13699.0,0,160,2.0,3,1,2007,1
2115,33,11200.0,5,157,1.5,0,1,2012,0
2116,43,71138.0,0,0,3.0,0,1,2016,1
2117,33,7440.0,2,148,1.5,0,1,2012,0
2118,10,3000.0,3,178,1.4,3,1,2007,0
2119,43,66346.0,0,0,3.0,0,1,2016,1
2120,35,8000.0,3,250,1.6,3,1,2007,0
2124,43,8700.0,4,250,1.9,0,1,2002,1
2125,26,23800.0,3,195,2.2,0,1,2010,2
2126,26,24900.0,3,140,5.5,3,1,2009,1
2127,33,8900.0,5,150,2.0,0,1,2009,0
2128,43,5999.0,5,300,1.8,1,1,1999,0
2130,27,9300.0,3,95,2.0,3,1,2007,0
2131,26,40000.0,2,119,6.3,3,1,2008,1
2132,43,19200.0,0,155,2.5,0,1,2008,1
2133,33,9500.0,5,275,2.0,0,1,2008,0
2134,26,7700.0,5,300,2.2,2,1,2004,2
2135,43,42500.0,0,63,3.0,0,1,2014,1
2136,30,65000.0,2,37,6.0,3,1,2006,2
2137,26,9500.0,4,180,3.2,0,1,2002,2
2138,26,3900.0,3,375,2.0,3,1,1990,2
2139,40,43999.0,2,1,2.8,0,1,2016,1
2140,25,12000.0,0,148,2.3,1,1,2008,1
2142,23,14500.0,3,160,3.0,3,1,2006,2
2143,35,14500.0,3,130,1.9,0,1,2013,0
2144,40,9300.0,3,170,1.8,1,1,2006,0
2145,43,34000.0,0,92,3.0,0,1,2012,1
2146,21,8800.0,0,102,2.0,0,1,2008,1
2147,42,1600.0,3,70,1.2,3,1,1986,2
2148,27,2800.0,3,150,2.0,1,1,1996,0
2149,22,78900.0,0,55,3.0,0,1,2014,1
2150,3,86999.0,0,0,3.0,0,1,2016,1
2151,3,62000.0,0,1,2.0,0,1,2016,1
2153,3,2900.0,3,225,2.5,3,0,1997,2
2154,33,1800.0,1,1,1.4,1,1,1988,0
2155,3,67500.0,0,1,2.0,0,1,2016,1
2156,43,19500.0,0,112,2.5,0,1,2008,1
2157,33,3600.0,5,22,1.9,0,1,2001,0
2158,33,9999.0,5,185,1.5,0,1,2008,0
2159,29,2999.0,3,310,1.6,3,1,1995,0
2160,32,13222.0,0,110,4.5,1,1,2005,1
2161,23,18900.0,3,80,3.5,3,1,2007,0
2162,27,8200.0,0,210,2.4,1,1,2007,1
2163,40,12900.0,1,37,1.4,3,1,2013,0
2164,3,2800.0,3,296,3.0,0,0,2001,2
2165,22,36500.0,0,99,5.0,3,1,2011,1
2167,26,7200.0,5,285,2.2,0,1,2001,0
2168,26,9300.0,3,342,2.6,3,1,2003,2
2169,2,14900.0,0,183,3.6,3,0,2007,1
2170,26,13600.0,1,147,2.0,0,1,2008,2
2171,3,26900.0,3,158,5.0,3,1,2007,2
2172,43,20300.0,0,139,3.0,0,1,2008,1
2173,26,2700.0,3,337,2.3,1,1,1988,2
2174,43,20800.0,0,151,3.0,0,1,2008,1
2175,43,24900.0,3,1,1.6,0,1,2016,0
2176,23,15400.0,3,127,3.0,3,1,2006,1
2177,43,24900.0,3,1,1.6,0,1,2016,0
2178,43,21900.0,0,136,3.0,0,1,2008,1
2180,3,4999.0,3,256,2.5,0,0,2001,2
2181,43,8800.0,2,217,1.9,0,1,2005,0
2182,26,6900.0,3,350,3.0,0,1,1994,2
2183,17,7000.0,3,100,1.6,3,1,2008,0
2184,26,4900.0,5,262,2.3,0,1,1998,2
2185,26,25500.0,3,137,2.2,0,1,2012,2
2186,26,13600.0,5,172,2.2,0,1,2013,2
2187,13,8000.0,4,230,2.2,0,1,2006,0
2188,16,9750.0,3,84,1.3,3,1,2008,0
2189,45,1850.0,5,145,1.2,1,1,2007,0
2190,3,16700.0,3,150,2.0,0,1,2008,2
2191,40,8888.0,3,172,1.8,1,1,2005,0
2192,40,14900.0,3,106,2.4,3,1,2008,0
2193,21,17800.0,3,114,1.7,0,1,2013,0
2194,26,4000.0,3,300,1.8,3,1,1996,2
2195,37,17900.0,0,67,2.7,0,1,2012,1
2196,39,15000.0,0,130,2.7,3,1,2007,1
2198,3,81000.0,3,23,4.4,3,1,2014,2
2199,26,17300.0,3,184,1.8,1,1,2008,2
2200,23,75500.0,0,50,4.6,3,1,2015,1
2201,6,6400.0,1,90,1.6,3,1,2008,0
2202,43,17500.0,3,76,1.8,3,1,2012,0
2203,17,6000.0,5,130,1.6,3,1,2007,0
2204,33,8550.0,5,160,1.5,0,1,2014,0
2205,35,7800.0,3,155,1.8,1,1,2005,0
2206,26,15000.0,2,82,1.8,3,1,2004,2
2207,16,9800.0,3,158,1.34,2,1,2008,0
2208,29,4476.0,3,290,2.0,1,1,1998,2
2209,43,8500.0,4,200,1.9,0,1,2003,0
2210,26,12800.0,5,193,2.2,2,1,2011,2
2211,29,9700.0,5,160,2.0,0,1,2012,0
2212,17,8600.0,3,189,3.3,3,1,2006,0
2213,13,4950.0,3,146,2.0,3,1,2001,0
2214,35,12400.0,3,110,1.8,3,1,2012,0
2215,29,2900.0,1,260,1.4,3,1,1992,0
2216,31,9300.0,1,49,1.0,3,1,2014,0
2217,10,3900.0,3,220,1.5,3,1,2004,0
2218,27,8000.0,3,67,1.5,3,1,2009,0
2219,27,6300.0,3,116,1.5,3,1,2008,0
2220,26,7800.0,1,125,2.3,3,1,2001,2
2221,31,9700.0,4,148,1.6,2,1,2008,0
2222,45,4500.0,3,74,1.6,1,1,2010,0
2223,29,3400.0,4,164,1.9,0,0,2005,0
2224,40,15300.0,2,116,2.4,3,1,2009,0
2225,33,9150.0,5,220,2.0,0,1,2007,0
2226,26,12900.0,5,185,2.2,0,1,2011,2
2227,38,4100.0,4,209,2.2,3,1,1996,1
2228,40,13800.0,2,160,3.5,1,1,2006,0
2230,12,8800.0,3,112,1.3,0,1,2014,0
2231,33,6700.0,1,96,1.4,3,1,2010,0
2232,33,6300.0,5,149,1.5,2,1,2011,0
2233,26,13800.0,3,222,3.0,1,1,2007,1
2234,8,21900.0,1,41,2.0,0,1,2013,0
2235,40,24000.0,0,152,4.0,1,1,2006,1
2236,17,6700.0,3,95,1.6,3,1,2008,0
2237,29,9700.0,2,141,2.0,0,1,2011,0
2239,43,2200.0,1,118,1.4,3,0,2001,0
2240,29,7800.0,5,212,1.9,0,1,2002,0
2241,26,10200.0,3,154,2.5,3,1,2006,2
2242,17,10500.0,1,50,1.4,3,1,2011,0
2244,40,7900.0,3,170,3.0,3,1,2004,0
2245,27,10200.0,0,99,2.0,1,1,2008,1
2246,33,5650.0,5,140,1.4,3,1,2009,0
2247,43,9200.0,5,268,2.5,0,1,2003,1
2248,43,12900.0,3,136,1.6,0,1,2010,0
2249,23,43000.0,0,33,3.5,3,1,2013,1
2250,26,15900.0,4,219,3.0,0,1,2007,2
2251,26,18000.0,5,147,2.2,0,1,2013,2
2252,33,7600.0,2,125,1.5,0,1,2013,0
2253,26,3500.0,3,250,2.7,0,0,2001,2
2254,30,99000.0,3,15,0.7,2,1,2015,1
2255,30,59000.0,3,20,1.0,2,1,2013,2
2256,10,3500.0,3,173,1.5,3,1,2006,0
2257,37,13800.0,0,135,2.7,0,1,2010,1
2258,43,12999.0,5,237,2.5,0,1,2005,0
2259,40,21000.0,0,74,2.0,3,1,2011,1
2261,26,15000.0,3,67,2.8,2,1,1995,2
2262,40,21999.0,0,69,3.5,3,1,2008,1
2263,26,16800.0,3,125,1.8,3,1,2008,2
2264,22,53500.0,0,69,3.0,0,1,2012,1
2265,37,11500.0,0,165,2.7,0,1,2008,1
2266,23,32500.0,0,79,3.5,3,1,2011,1
2267,13,28999.0,3,2,2.5,3,1,2015,0
2268,26,14100.0,5,138,2.2,0,1,2009,2
2269,43,11900.0,4,132,1.4,3,1,2011,0
2270,35,13400.0,3,76,1.8,3,1,2013,0
2271,3,13999.0,3,265,3.0,0,1,2005,2
2272,16,16700.0,3,71,2.0,3,1,2011,0
2273,26,11500.0,5,200,2.2,0,1,2010,2
2274,29,5900.0,3,158,1.6,3,1,2004,0
2275,40,9500.0,2,90,1.6,2,1,2008,0
2276,35,8200.0,3,224,1.8,3,1,2009,0
2277,3,8990.0,2,300,2.2,3,1,2002,2
2278,3,2500.0,3,44,2.5,0,0,1997,2
2279,27,5500.0,3,165,1.6,3,1,2006,0
2280,38,13800.0,0,165,3.6,3,1,2008,1
2281,10,1900.0,3,159,1.5,1,1,2004,0
2282,26,2700.0,3,400,2.9,0,1,1997,2
2283,26,5500.0,2,220,2.2,0,1,2002,0
2284,43,10000.0,5,160,1.6,0,1,2012,0
2285,3,3300.0,3,360,2.5,3,1,1992,2
2286,43,13300.0,3,133,1.8,3,1,2008,0
2287,19,30900.0,3,55,2.0,3,1,2013,2
2288,3,5700.0,3,252,2.5,0,1,1997,2
2289,26,46500.0,0,127,5.0,3,1,2008,1
2290,2,55000.0,0,100,6.0,0,1,2009,1
2291,35,7450.0,4,150,1.4,3,1,2010,0
2292,10,2800.0,3,133,1.5,1,1,2000,0
2293,26,11900.0,3,167,1.8,3,1,2005,2
2294,40,12450.0,3,162,3.5,1,1,2007,0
2295,29,2100.0,4,250,2.5,0,0,2001,2
2296,35,5400.0,3,203,1.6,1,1,2003,0
2297,27,6999.0,3,113,1.5,3,1,2007,0
2298,42,4000.0,3,130,1.6,3,1,2005,0
2299,22,36700.0,0,87,5.0,3,1,2010,1
2300,22,41500.0,0,95,5.0,3,1,2010,1
2301,38,6700.0,3,137,1.6,3,1,2005,1
2302,35,8000.0,3,166,1.9,0,1,2007,0
2303,43,14500.0,0,173,2.5,0,1,2005,1
2304,31,12500.0,2,225,2.2,0,1,2011,0
2305,29,12200.0,5,145,2.0,0,1,2013,0
2306,27,15200.0,0,193,3.0,1,1,2008,1
2307,43,9300.0,4,150,2.0,3,1,2008,0
2308,22,38500.0,2,56,2.0,3,1,2013,1
2309,26,3900.0,3,111,2.5,0,1,1989,2
2310,27,6400.0,3,127,1.6,3,1,2006,0
2311,21,17700.0,0,50,2.0,3,1,2012,0
2312,42,1850.0,1,50,1.5,3,1,1992,0
2314,29,7300.0,4,280,2.5,0,1,2003,2
2315,26,7700.0,5,290,2.2,0,1,2004,2
2316,39,6400.0,3,25,2.4,3,1,2011,1
2318,18,12900.0,1,145,3.5,1,1,2003,1
2319,43,12900.0,5,127,1.6,0,1,2011,0
2320,40,22900.0,3,60,2.5,3,1,2012,0
2321,27,5999.0,3,150,1.6,3,1,2005,0
2322,27,5800.0,3,186,1.6,3,1,2006,0
2323,25,7950.0,3,140,2.0,2,1,2006,0
2324,26,14000.0,2,144,2.2,0,1,2009,2
2325,27,2300.0,3,523,1.8,0,1,1989,0
2326,13,1850.0,3,200,2.5,3,0,2001,0
2327,26,14800.0,5,139,3.0,0,1,2008,2
2328,3,4700.0,3,333,3.0,3,1,1994,2
2329,26,11300.0,3,363,3.2,1,1,2004,2
2330,13,6099.0,3,220,1.8,1,1,2002,0
2331,33,8100.0,0,90,1.9,0,1,2005,1
2333,43,10800.0,3,100,1.8,3,1,2008,0
2334,26,11900.0,5,215,2.2,0,1,2011,2
2336,40,31000.0,0,86,2.2,0,1,2014,1
2337,40,8800.0,0,205,2.0,3,1,2002,1
2338,26,8700.0,5,290,2.2,0,1,2005,2
2339,27,7200.0,3,102,1.6,3,1,2007,0
2340,43,12499.0,2,184,2.0,0,1,2012,0
2341,26,1200.0,3,240,2.4,3,0,1999,2
2342,26,11499.0,2,157,2.2,0,1,2012,2
2343,28,14500.0,2,187,2.5,0,1,2008,1
2344,26,28500.0,3,148,2.2,0,1,2011,2
2345,17,12800.0,1,19,1.4,3,1,2013,0
2346,8,14462.65275,1,1,1.6,0,1,2015,0
2347,13,25400.0,0,40,2.0,0,1,2014,1
2348,17,5100.0,1,108,1.4,3,1,2007,0
2349,42,8447.4,0,1,1.7,3,1,2015,1
2350,26,12800.0,2,360,2.2,0,1,2008,2
2351,5,11111.295,0,1,1.6,3,1,2016,0
2352,26,12100.0,3,310,2.2,0,1,2005,2
2353,2,41000.0,0,88,4.2,0,1,2010,1
2354,27,25342.2,2,1,2.5,0,1,2016,1
2355,6,10577.775,0,1,1.7,3,1,2015,1
2356,43,9250.0,3,200,2.0,0,1,2007,0
2357,8,5000.0,5,194,1.9,0,1,2005,0
2358,25,12950.0,0,65,2.3,3,1,2008,1
2359,17,9300.0,3,98,1.4,3,1,2011,0
2360,31,16042.65,1,1,1.6,0,1,2015,0
2362,17,6300.0,3,164,1.6,1,1,2008,0
2363,22,72000.0,0,45,5.0,3,1,2013,1
2364,26,4700.0,3,1,1.8,3,1,1996,2
2365,30,38500.0,0,55,2.3,3,1,2013,1
2366,26,12950.0,3,313,3.2,0,1,2003,2
2367,25,12400.0,0,148,2.3,3,1,2008,1
2368,43,15900.0,3,77,1.4,3,1,2012,0
2369,2,4300.0,3,340,2.4,1,1,1998,1
2370,3,36900.0,3,17,2.0,3,1,2013,2
2371,16,21800.0,3,0,1.6,3,1,2016,0
2372,16,19499.0,0,144,3.5,3,1,2008,1
2373,13,1100.0,3,301,1.8,0,0,1998,0
2374,21,10200.0,3,112,2.0,1,1,2008,0
2375,37,9000.0,0,205,2.9,0,1,2002,1
2376,2,75000.0,0,0,3.0,0,1,2015,1
2377,21,11800.0,3,44,1.4,1,1,2014,0
2378,43,9000.0,3,178,1.9,0,1,2009,0
2379,10,4700.0,3,86,1.4,1,1,2008,0
2381,33,4900.0,3,90,1.4,1,1,2008,0
2382,29,11200.0,5,180,2.0,0,1,2012,0
2383,40,8800.0,3,165,1.8,3,1,2007,0
2384,10,3200.0,3,75,1.4,3,1,2008,0
2385,6,8700.0,3,93,2.0,1,1,2010,0
2386,28,11500.0,0,78,1.6,3,1,2011,0
2387,43,17900.0,5,92,1.4,3,1,2012,0
2388,43,7999.0,5,210,1.6,1,1,2004,0
2389,25,3200.0,3,217,2.0,3,1,1993,0
2391,13,7300.0,2,130,1.8,0,1,2011,0
2392,29,12500.0,3,140,1.4,3,1,2012,0
2393,2,92222.0,0,0,3.0,0,1,2016,1
2394,13,2300.0,3,240,2.0,0,0,2001,0
2395,40,8600.0,3,126,1.6,3,1,2008,0
2396,40,14900.0,2,175,3.5,1,1,2008,0
2397,28,10500.0,0,155,2.5,1,1,2007,1
2398,27,7500.0,3,94,1.6,3,1,2007,0
2399,40,41900.0,0,89,4.5,0,1,2012,1
2401,26,17500.0,4,113,2.2,0,1,2010,2
2402,43,17900.0,4,115,1.8,3,1,2012,0
2403,26,9999.0,3,250,2.2,0,1,2000,2
2404,43,9600.0,3,185,1.6,1,1,2008,0
2405,30,39500.0,2,110,6.0,1,1,2007,1
2406,26,9999.0,3,322,2.7,0,1,2000,2
2407,26,16500.0,5,152,2.2,0,1,2012,2
2408,25,12200.0,0,79,2.3,3,1,2008,1
2409,43,13000.0,5,110,1.9,0,1,2009,0
2410,10,3699.0,1,111,0.8,3,1,2007,0
2411,29,9500.0,5,180,2.0,0,1,2008,0
2412,43,1450.0,2,200,1.8,1,1,1987,0
2413,40,12500.0,3,110,2.4,1,1,2007,0
2414,33,10500.0,5,183,2.5,0,1,2006,0
2415,2,4000.0,4,300,2.5,0,0,2001,0
2416,43,22800.0,2,161,2.0,0,1,2011,1
2417,6,6500.0,4,116,1.8,1,1,2010,0
2418,40,52500.0,0,43,3.0,2,1,2014,1
2419,2,4000.0,3,263,1.9,0,1,1996,0
2420,6,5600.0,3,168,1.5,1,1,2007,0
2421,16,10900.0,3,99,1.8,3,1,2008,0
2422,23,14290.0,0,173,3.0,3,1,2004,1
2423,42,3600.0,1,114,1.6,1,1,2010,0
2424,29,11350.0,5,177,2.0,0,1,2012,0
2425,29,14000.0,5,210,2.5,0,1,2011,0
2427,7,13800.0,4,76,2.7,3,1,2009,2
2428,16,13700.0,2,82,2.4,3,1,2008,0
2429,3,7000.0,3,227,3.0,0,0,2004,2
2430,21,9200.0,1,125,1.6,3,1,2008,0
2431,6,6150.0,3,102,1.5,3,1,2008,0
2432,40,12900.0,3,129,1.8,3,1,2009,0
2433,13,1300.0,3,250,1.6,3,1,1988,2
2434,18,49900.0,0,20,3.0,0,1,2015,1
2435,26,11500.0,3,180,3.2,1,1,2004,2
2436,17,6500.0,3,92,1.4,3,1,2008,0
2437,23,16000.0,0,195,3.5,1,1,2006,1
2438,29,11700.0,5,170,2.0,2,1,2008,0
2439,27,1699.0,1,294,1.6,1,1,1992,0
2440,6,8300.0,3,97,2.0,3,1,2010,0
2441,13,2000.0,5,320,2.5,0,0,1996,2
2442,2,37000.0,2,170,3.0,0,1,2010,1
2443,43,11600.0,3,169,1.4,1,0,2013,0
2444,6,5400.0,1,142,1.5,1,1,2008,0
2445,26,12300.0,3,300,2.2,0,1,2003,2
2446,8,5500.0,1,108,1.4,3,1,2005,0
2447,29,4250.0,1,228,2.0,3,1,1996,0
2448,23,27000.0,0,150,4.7,1,1,2007,1
2449,17,9900.0,0,168,2.0,1,1,2007,1
2450,3,4599.0,3,267,2.0,1,1,1991,2
2451,40,4000.0,3,243,2.0,1,1,1987,2
2453,35,8100.0,3,196,1.8,3,1,2005,0
2454,27,3149.25,1,330,2.0,1,1,1993,0
2455,10,4500.0,3,35,1.3,1,1,2013,0
2456,35,5200.0,1,183,1.2,1,1,2006,0
2457,43,6900.0,3,256,1.8,3,1,2002,0
2458,40,44700.0,0,120,3.5,3,1,2013,1
2459,26,4000.0,3,370,3.2,0,0,2002,2
2460,43,10200.0,5,137,1.9,0,1,2008,0
2461,29,3900.0,3,389,2.0,1,1,1995,0
2462,28,5000.0,2,125,1.2,3,1,2006,0
2463,33,7500.0,2,440,2.0,0,1,2008,0
2465,3,8200.0,3,368,3.0,0,1,2000,2
2466,40,18200.0,0,146,2.7,1,1,2006,1
2467,2,23000.0,0,240,4.2,3,1,2007,1
2468,28,8500.0,1,81,1.6,3,1,2008,0
2469,43,9500.0,1,29,1.4,3,1,2014,0
2470,21,10700.0,3,38,1.4,3,1,2013,0
2471,6,4500.0,1,185,1.5,1,1,2004,0
2472,43,41000.0,0,180,3.0,0,1,2013,1
2473,27,12900.0,0,148,3.0,1,1,2008,1
2474,43,12114.34965,3,0,1.6,3,1,2016,0
2475,31,9600.0,5,150,1.6,0,1,2010,0
2476,43,20350.0,4,111,2.0,0,1,2012,0
2477,22,3500.0,0,200,2.5,3,0,2003,1
2478,35,8300.0,3,165,2.0,3,1,2006,0
2479,14,3800.0,3,144,2.3,3,1,2008,2
2480,3,32500.0,2,86,3.0,3,1,2010,2
2482,8,6500.0,5,237,2.2,0,1,2007,0
2483,25,1300.0,3,274,1.5,3,0,1995,0
2486,16,20999.0,3,74,2.4,3,1,2011,0
2487,43,8300.0,2,151,2.0,3,1,2005,0
2490,26,16900.0,5,180,3.0,0,1,2008,2
2491,42,3500.0,1,97,1.6,3,1,2008,0
2492,28,25982.7945,0,0,1.6,0,1,2016,0
2493,3,8900.0,3,250,2.5,0,1,2001,2
2494,26,11500.0,5,209,2.2,0,1,2008,2
2495,42,4000.0,1,92,1.6,1,1,2006,0
2496,23,14000.0,0,182,3.0,3,1,2003,1
2498,33,5950.0,5,135,1.5,0,1,2012,0
2499,2,2600.0,4,110,2.5,0,0,2002,0
2500,29,10800.0,5,108,2.0,0,1,2012,0
2501,3,27800.0,3,170,2.0,0,1,2011,2
2502,43,21000.0,0,173,3.0,0,1,2008,1
2503,29,10300.0,2,202,2.0,0,1,2008,0
2504,3,10999.0,3,150,2.0,1,1,2003,2
2505,23,14900.0,0,180,3.0,1,1,2004,1
2506,13,6900.0,1,139,1.4,3,1,2011,0
2508,3,24700.0,4,142,2.0,0,1,2012,2
2509,43,9200.0,1,127,1.6,3,1,2007,0
2510,26,8100.0,5,330,2.2,0,1,2001,0
2511,40,42500.0,0,50,3.0,0,1,2012,1
2512,28,18421.26,3,0,1.6,3,1,2015,0
2513,3,31000.0,3,100,2.0,3,1,2012,2
2514,33,5750.0,0,225,2.0,1,1,2003,1
2515,26,20000.0,0,251,5.0,1,1,2002,1
2516,26,33800.0,0,120,3.0,0,1,2010,1
2517,31,21900.0,2,17,1.6,3,1,2011,0
2518,42,3750.0,3,100,1.5,3,1,2008,0
2519,35,16000.0,0,40,1.8,3,1,2013,1
2521,35,9600.0,3,58,1.8,3,1,2008,0
2522,2,19990.0,3,127,2.8,3,1,2010,1
2523,26,13899.0,1,232,3.0,0,1,2007,2
2524,12,6000.0,1,145,1.6,3,1,2006,0
2525,38,16799.0,4,90,2.5,2,1,2011,1
2526,3,21600.0,0,200,4.8,2,1,2007,1
2527,28,6999.0,3,230,3.0,3,1,2004,0
2528,27,7000.0,3,133,1.6,3,1,2008,0
2529,26,11700.0,3,246,5.0,3,1,2004,1
2530,26,63000.0,0,160,3.0,0,1,2013,1
2531,43,28000.0,5,163,2.0,0,1,2010,1
2532,33,7450.0,2,208,1.9,2,1,2004,0
2533,42,1700.0,3,82,1.5,3,1,2004,2
2534,23,6000.0,3,350,3.0,3,1,1996,2
2535,13,1550.0,1,285,2.0,1,1,1988,2
2537,43,38764.0,3,0,2.0,0,1,2014,0
2538,26,12500.0,5,386,2.2,0,1,2008,2
2539,40,17800.0,0,220,3.0,0,1,2004,1
2540,27,8400.0,3,250,2.0,3,1,2007,0
2541,40,38233.0,2,0,2.4,0,1,2016,1
2542,29,4500.0,3,369,2.0,1,1,1995,2
2543,2,16400.0,4,152,2.0,0,1,2011,0
2544,22,21000.0,0,136,2.2,0,1,2010,1
2545,28,8800.0,1,73,1.4,3,1,2013,0
2546,43,7800.0,1,230,1.6,3,1,2004,0
2547,43,35900.0,5,132,2.0,0,1,2011,1
2548,43,11200.0,5,200,2.5,0,1,2003,1
2549,3,14200.0,3,263,3.0,3,1,2004,2
2550,20,12500.0,0,125,2.5,3,1,1994,1
2551,43,16900.0,0,145,1.4,3,1,2011,1
2552,42,1800.0,4,3,1.5,3,1,1987,2
2553,3,30500.0,1,110,4.4,3,1,2008,1
2554,33,10700.0,5,265,2.0,0,1,2007,0
2555,33,8750.0,4,46,1.6,3,1,2012,0
2556,17,11500.0,3,75,1.6,3,1,2011,0
2557,26,55000.0,3,34,2.2,0,1,2011,2
2558,36,5600.0,2,158,0.7,3,1,2006,2
2559,45,5000.0,1,32,1.5,1,1,2012,0
